"ProductName","SKU","Category","ItemType","TrackSerials","SerialPrefix","SerialNextNumber","SerialSuffix","Description","DefaultUnitPrice","Markup","IsFixedMarkup","IsTaxInclusivePrice","DKK","Cost","SpecialTaxRate","LastVendor","VendorProductCode","VendorPrice","BarCode","Uom","SalesUom","SalesUomRatio1","SalesUomRatio2","PurchasingUom","PurchasingUomRatio1","PurchasingUomRatio2","ProductLength","ProductWidth","ProductHeight","ProductWeight","Remarks","Gamesa PartNo.:","Other PartNo.:","HS-Code:","COO:","Leedtime (Weeks):","IsActive"
"Threaded bush f. blade root B45","VM240051","New","Stockable","False","","","","","148,10","17,50000","True","False","1104,41","939,92000","","","","","VM240051","Units","","1,0000","1,0000","","1,0000","1,0000","","","","","","A9B10027534","","","","","True"
"SCR ISO4017 M16X45 8.8 FLZNL NC 1000H. HEXAGONAL HEAD BOLT M16X45","VM240052","New","Stockable","False","","","","","2,08","17,50000","True","False","15,51","13,20000","","","","","VM240052","Units","","1,0000","1,0000","","1,0000","1,0000","","","","","","GP003438","","","","","True"
"WAS ISO7089 5 200HV FLZNL NC 1000H. FLAT WASHER M5.","VM240053","New","Stockable","False","","","","","0,14","17,50000","True","False","1,06","0,90000","","","","","VM240053","Units","","1,0000","1,0000","","1,0000","1,0000","","","","","","GP003629","","","","","True"
"CBR_ABB_ S202 C16_2CDS252001R0164","VM240054","New","Stockable","False","","","","","15,26","17,50000","True","False","113,76","96,82000","","","","","VM240054","Units","","1,0000","1,0000","","1,0000","1,0000","","","","","","GP018348","","","","","True"
"2P D4 S202M CIRCUIT BREAKER ABB. CIRCUIT BREAKER 4A.","VM240055","New","Stockable","False","","","","","34,67","17,50000","True","False","258,58","220,07000","","","","","VM240055","Units","","1,0000","1,0000","","1,0000","1,0000","","","","","","GP023917","","","","","True"
"HOSE-1SC-4-TLML8-TLML8-NA- NA-C4-4000. HOSE L=15000MM.","VM240056","New","Stockable","False","","","","","72,12","17,50000","True","False","537,86","457,75000","","","","","VM240056","Units","","1,0000","1,0000","","1,0000","1,0000","","","","","","GP207612","","","","","True"
"RELIEF VALVE RHV 8-PLR-ED.","VM240057","New","Stockable","False","","","","","18,03","17,50000","True","False","134,46","114,43000","","","","","VM240057","Units","","1,0000","1,0000","","1,0000","1,0000","","","","","","GP260468","","","","","True"
"FUS.BT G80 Estator BUSSMANN S4 2500A. FUSE 2500A","VM240058","New","Stockable","False","","","","","310,30","17,50000","True","False","2314,06","1969,41000","","","","","VM240058","Units","","1,0000","1,0000","","1,0000","1,0000","","","","","","P393237","","","","","True"
"SHIM d24.5Xd150X1,0 MM. SHIM 1MM","VM240059","New","Stockable","False","","","","","1,66","17,50000","True","False","12,36","10,52000","","","","","VM240059","Units","","1,0000","1,0000","","1,0000","1,0000","","","","","","155973","","","","","True"
"BOLT ISO 4762 M8X35 A4-70. HEXAGON SOCKET BOLT","VM240060","New","Stockable","False","","","","","0,41","17,50000","True","False","3,07","2,61000","","","","","VM240060","Units","","1,0000","1,0000","","1,0000","1,0000","","","","","","GP062780","","","","","True"
"WASHER ISO 7089-20-300 HV FLZNL NC 1000H. FLAT WASHER D2","VM240061","New","Stockable","False","","","","","0,41","17,50000","True","False","3,07","2,61000","","","","","VM240061","Units","","1,0000","1,0000","","1,0000","1,0000","","","","","","GP007482","","","","","True"
"Accumulator universal charging kit VGU/F.25/250.7.TS2.3 ","VM240063","New","Stockable","False","","","","","689,02","17,50000","True","False","5138,28","4373,00000","","","","","VM240063","Units","","1,0000","1,0000","","1,0000","1,0000","","","","","","","20214122723 ","","","2","True"
